seqnames	start	end	width	strand	score	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr11	49901716	49901756	41	*	241	X09	74563	49901835	49980994	79160	+	78	upstream	78	Rasgef1c
chr13	119428151	119428325	175	*	151	X16	218693	119428601	119458218	29618	+	275	upstream	275	Paip1
chr17	56476601	56476646	46	*	193	X36	19280	56412426	56476483	64058	-	117	upstream	117	Ptprs
chr17	84792389	84792492	104	*	64	X41	72416	84705247	84790789	85543	-	1599	upstream	1599	Lrpprc
chr2	153530459	153530586	128	*	193	X55	329540	153407462	153529971	122510	-	487	upstream	487	Nol4l
chr3	96594387	96594663	277	*	147	X58	545554	96596636	96599775	3140	+	1972	upstream	1972	Ankrd34a
chr3	96594387	96594663	277	*	147	X58	69870	96577872	96594181	16310	-	205	upstream	205	Polr3gl
chr3	138742070	138742085	16	*	68	X59	56224	138742195	138907905	165711	+	109	upstream	109	Tspan5
chr4	151933425	151933469	45	*	253	X67	230935	151933691	151982137	48447	+	221	upstream	221	Dnajc11
chr7	27446404	27446417	14	*	106	X74	233016	27447978	27466144	18167	+	1560	upstream	1560	Blvrb
chr7	30445167	30445280	114	*	87	X75	11803	30434982	30445535	10554	-	0	inside	254	Aplp1
chr8	105269588	105269635	48	*	71	X84	26386	105269801	105275845	6045	+	165	upstream	165	Hsf4
chr8	117083615	117083931	317	*	49	X85	76645	116995679	117082449	86771	-	1165	upstream	1165	Pkd1l2
chrX	159988699	159988734	36	*	98	X95	270672	159988433	160123351	134919	+	0	inside	265	Map3k15
